pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary
APPSC-G1-2016-P2-001a,APPSC,2016,paper2,1a,History,MT-HIST-M2-2-016,ANALYTICAL,L3,medium,first_time,false,Compare Hinayana and Mahayana Buddhism and reasons for rise and decline
APPSC-G1-2016-P2-001b,APPSC,2016,paper2,1b,History,MT-HIST-M2-3-012,ANALYTICAL,L2,medium,first_time,false,Major schools of art in post-Mauryan period and their features
APPSC-G1-2016-P2-002a,APPSC,2016,paper2,2a,History,MT-HIST-M2-4-028,ANALYTICAL,L2,medium,first_time,false,Contributions of Great Mughals to Indian architecture
APPSC-G1-2016-P2-002b,APPSC,2016,paper2,2b,History,MT-HIST-M2-4-015,ANALYTICAL,L2,medium,first_time,false,Cultural contribution of Vijayanagar Empire
APPSC-G1-2016-P2-003a,APPSC,2016,paper2,3a,History,MT-HIST-M2-5-019,ANALYTICAL,L3,medium,first_time,false,Period 1885-1905 moderates contribution in organizing national movement
APPSC-G1-2016-P2-003b,APPSC,2016,paper2,3b,History,MT-HIST-M2-5-006,ANALYTICAL,L3,medium,first_time,false,Nature and significance of 1857 revolt as First War of Independence
APPSC-G1-2016-P2-004a,APPSC,2016,paper2,4a,History,MT-HIST-M2-5-021,ANALYTICAL,L3,hard,first_time,false,Effectiveness of Gandhis methods to mobilize masses
APPSC-G1-2016-P2-004b,APPSC,2016,paper2,4b,History,MT-HIST-M2-5-015,ANALYTICAL,L4,hard,first_time,false,Ambedkars statement on constitutional methods and protecting democracy
APPSC-G1-2016-P2-005a,APPSC,2016,paper2,5a,History,MT-HIST-M2-5-022,ANALYTICAL,L3,medium,first_time,false,Contribution of peasant movements in freedom struggle
APPSC-G1-2016-P2-005b,APPSC,2016,paper2,5b,History,MT-HIST-M2-5-023,ANALYTICAL,L3,hard,first_time,false,Role of communalism in partition of the country
APPSC-G1-2016-P2-006a,APPSC,2016,paper2,6a,AP History,MT-AP_HIST-M2-6-002,ANALYTICAL,L2,medium,first_time,false,Political fortunes and cultural contribution of Ikshvakus
APPSC-G1-2016-P2-006b,APPSC,2016,paper2,6b,AP History,MT-AP_HIST-M2-6-006,ANALYTICAL,L2,medium,first_time,false,Eastern Chalukyas contribution to literature art and architecture
APPSC-G1-2016-P2-007a,APPSC,2016,paper2,7a,AP History,MT-AP_HIST-M2-7-005,ANALYTICAL,L2,medium,first_time,false,Qutubshahis contribution to Telugu language and literature
APPSC-G1-2016-P2-007b,APPSC,2016,paper2,7b,AP History,MT-AP_HIST-M2-7-007,ANALYTICAL,L2,medium,first_time,false,Poet Molla her work and literary style
APPSC-G1-2016-P2-008a,APPSC,2016,paper2,8a,AP History,MT-AP_HIST-M2-9-004,ANALYTICAL,L2,medium,first_time,false,Gurram Jashuvas literary works contribution to social reform
APPSC-G1-2016-P2-008b,APPSC,2016,paper2,8b,AP History,MT-AP_HIST-M2-9-004,ANALYTICAL,L2,medium,first_time,false,Salient features of Dr Boyi Bhimannas literary works
APPSC-G1-2016-P2-009a,APPSC,2016,paper2,9a,AP History,MT-AP_HIST-M2-9-006,ANALYTICAL,L2,medium,first_time,false,Andhra Mahasabha contribution in socio-cultural development
APPSC-G1-2016-P2-009b,APPSC,2016,paper2,9b,AP History,MT-AP_HIST-M2-9-002,ANALYTICAL,L2,medium,first_time,false,Vandemataram movement and its impact on AP freedom struggle
APPSC-G1-2016-P2-010a,APPSC,2016,paper2,10a,AP History,MT-AP_HIST-M2-10-004,ANALYTICAL,L3,hard,first_time,false,Reasons for success and failure of Telangana armed struggle
APPSC-G1-2016-P2-010b,APPSC,2016,paper2,10b,AP History,MT-AP_HIST-M2-10-004,ANALYTICAL,L2,medium,first_time,false,Razakars and their role in resisting Hyderabad integration into India
APPSC-G1-2016-P2-011a,APPSC,2016,paper2,11a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Indian constitution federal in form but unitary in spirit - discuss
APPSC-G1-2016-P2-011b,APPSC,2016,paper2,11b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,hard,first_time,false,Effectiveness of Directive Principles implementation and improvements
APPSC-G1-2016-P2-012a,APPSC,2016,paper2,12a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Concept of cooperative federalism and its existence in Indian polity
APPSC-G1-2016-P2-012b,APPSC,2016,paper2,12b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Financial relations between Union and States and irritants encountered
APPSC-G1-2016-P2-013a,APPSC,2016,paper2,13a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Judicial activism meaning and its impact on Indian polity
APPSC-G1-2016-P2-013b,APPSC,2016,paper2,13b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Relative position of Rajya Sabha compared to Lok Sabha
APPSC-G1-2016-P2-014a,APPSC,2016,paper2,14a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Procedure for amending constitution and criticism against it
APPSC-G1-2016-P2-014b,APPSC,2016,paper2,14b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,hard,first_time,false,Basic structure doctrine of constitution with important Supreme Court judgements
APPSC-G1-2016-P2-015a,APPSC,2016,paper2,15a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Special constitutional provisions for SCs STs backward classes Anglo-Indians
APPSC-G1-2016-P2-015b,APPSC,2016,paper2,15b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Concept of minorities in Indian constitution and safeguards for their rights
APPSC-G1-2016-P3-1A,APPSC,2016,paper3,1A,Economy,MT-ECON-M4-1-003,ANALYTICAL,L3,hard,first_time,false,Difficulties in measuring economic development level and Indian methods
APPSC-G1-2016-P3-1B,APPSC,2016,paper3,1B,Economy,MT-ECON-M4-1-003,ANALYTICAL,L3,medium,first_time,false,Recent base year revision and national income accounting changes
APPSC-G1-2016-P3-2A,APPSC,2016,paper3,2A,Economy,MT-ECON-M4-2-002,ANALYTICAL,L3,medium,first_time,false,Employment weaknesses during reform period per 11th Plan
APPSC-G1-2016-P3-2B,APPSC,2016,paper3,2B,Economy,MT-ECON-M4-1-002,ANALYTICAL,L2,medium,first_time,false,Guiding principles in setting up NITI Aayog
APPSC-G1-2016-P3-3A,APPSC,2016,paper3,3A,Economy,MT-ECON-M4-6-002,ANALYTICAL,L3,medium,first_time,false,Limitations in India poverty alleviation strategy
APPSC-G1-2016-P3-3B,APPSC,2016,paper3,3B,Economy,MT-ECON-M4-2-002,ANALYTICAL,L3,hard,first_time,false,Consequences of rural unemployment on society with remedies
APPSC-G1-2016-P3-4A,APPSC,2016,paper3,4A,Economy,MT-ECON-M4-3-001,ANALYTICAL,L3,hard,first_time,false,Expert committee recommendations to revise monetary policy framework
APPSC-G1-2016-P3-4B,APPSC,2016,paper3,4B,Economy,MT-ECON-M4-7-004,ANALYTICAL,L3,medium,first_time,false,Need for Regional Rural Banks and their problems and revisions
APPSC-G1-2016-P3-5A,APPSC,2016,paper3,5A,Economy,MT-ECON-M4-5-004,STATIC,L2,medium,first_time,false,Highlights of FRBM Act 2003
APPSC-G1-2016-P3-5B,APPSC,2016,paper3,5B,Economy,MT-ECON-M4-4-003,ANALYTICAL,L3,hard,first_time,false,Revenue deficit vs effective revenue deficit concept and Union Budget targets
APPSC-G1-2016-P3-6A,APPSC,2016,paper3,6A,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,medium,first_time,false,Reasons for land ceiling and its disadvantages to economy
APPSC-G1-2016-P3-6B,APPSC,2016,paper3,6B,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,hard,first_time,false,AP Land Licensed Cultivators Act 2011 need and implementation problems
APPSC-G1-2016-P3-7A,APPSC,2016,paper3,7A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L2,medium,first_time,false,AP strategies for agriculture extension program mission
APPSC-G1-2016-P3-7B,APPSC,2016,paper3,7B,Economy,MT-ECON-M4-6-014,ANALYTICAL,L3,hard,first_time,false,AP Rural Inclusive Growth Project pillars and key result indicators
APPSC-G1-2016-P3-8A,APPSC,2016,paper3,8A,Economy,MT-ECON-M4-2-003,STATIC,L2,medium,first_time,false,Trends in literacy rates in Andhra Pradesh
APPSC-G1-2016-P3-8B,APPSC,2016,paper3,8B,Economy,MT-ECON-M4-1-011,SCHEME,L2,medium,first_time,false,Employment through Jawahar Knowledge Centres in AP
APPSC-G1-2016-P3-9A,APPSC,2016,paper3,9A,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,hard,first_time,true,AP Budget 2016-17 distinct aspects and revenue/fiscal deficit causes
APPSC-G1-2016-P3-9B,APPSC,2016,paper3,9B,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,hard,first_time,false,Revenue receipts as % of GSDP trends 2002-2014 in AP
APPSC-G1-2016-P3-10A,APPSC,2016,paper3,10A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L3,medium,first_time,false,AP agriculture sector performance during 11th Plan period
APPSC-G1-2016-P3-10B,APPSC,2016,paper3,10B,Economy,MT-ECON-M4-6-002,STATIC,L2,medium,first_time,false,Central flagship programmes implemented in AP during 11th Plan
