micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-HIST-M2-1-001,History,Mains Paper-II (M2-1),PRE-HISTORIC CULTURES IN INDIA,"Paleolithic Age — Lower Paleolithic — Hand axes, cleavers, choppers; Middle Paleolithic — Flake tools, scrapers; Upper Paleolithic — Blades, burins, bone tools (+1 more)",Pre-historic cultures in India,G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-1-002,History,Mains Paper-II (M2-1),PRE-HISTORIC CULTURES IN INDIA,"Mesolithic Age — Microliths — Characteristics and distribution; Transition from hunting-gathering to food production; Sites — Bagor, Adamgarh, Langhnaj, Sarai Nahar Rai",Pre-historic cultures in India,G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-1-003,History,Mains Paper-II (M2-1),PRE-HISTORIC CULTURES IN INDIA,"Neolithic Age — Polished stone tools, pottery, agriculture, domestication; Settled life, pit dwellings, burial practices; Sites — Burzahom, Gufkral, Mehrgarh, Chirand, Koldihwa (+1 more)",Pre-historic cultures in India,G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-1-004,History,Mains Paper-II (M2-1),PRE-HISTORIC CULTURES IN INDIA,"Chalcolithic Age — Copper-stone phase, regional cultures; Ahar-Banas culture, Kayatha culture, Malwa culture; Jorwe culture, Savalda culture (+2 more)",Pre-historic cultures in India,G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-001,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Introduction — Discovery — Charles Masson, Alexander Cunningham, John Marshall; Chronology — Early (3300-2600 BCE), Mature (2600-1900 BCE), Late (1900-1300 BCE); Geographical extent — Sutkagendor to Alamgirpur, Manda to Daimabad","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-002,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Major Sites — Harappa — Granaries, working floors, R-37 cemetery; Mohenjo-daro — Great Bath, granary, Pashupati seal, dancing girl, priest-king; Dholavira — Signboard, water reservoirs, three-part division (+7 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-003,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Town Planning — Grid pattern / Checkerboard layout; Citadel (upper town) and Lower town; Drainage system — Covered drains, manholes, soak pits (+3 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-004,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Economy — Agriculture — Wheat, barley, rice, cotton, dates, mustard; Irrigation — Canal irrigation, reservoirs; Trade — Internal and external (Mesopotamia/Dilmun/Magan) (+3 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-005,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Society — Absence of clear class hierarchy evidence; Role of women — Mother Goddess worship suggests importance; Occupation patterns — Farmers, artisans, traders (+2 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-006,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Religion — Mother Goddess worship; Pashupati seal (Proto-Shiva theory); Nature worship — Trees (Pipal), animals (bull, unicorn) (+2 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-007,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Art & Architecture — Seals — Steatite seals, unicorn motif, script (undeciphered); Sculptures — Dancing girl (bronze), Priest-king (steatite), stone torso; Pottery — Painted, black-on-red designs (+1 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-008,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Script & Language — Undeciphered script; Boustrophedon style (right to left, left to right); Approx. 400-450 signs (+1 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
MT-HIST-M2-2-009,History,Mains Paper-II (M2-2),INDUS VALLEY CIVILIZATION,"Decline Theories — Environmental — Climate change, river drying (Ghaggar-Hakra); Floods theory (Marshall, Mackay); Aryan invasion theory (Mortimer Wheeler) — Largely rejected (+3 more)","Indus Civilization, Vedic Culture, Mahajanapadas, Buddhism & Jainism",G2_PLUS,analytical,static,shared_gs,,,,,mains,paper2
