micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-AP_HIST-G2P2-I1-001,AP History & Culture,G2 Paper-II Sec-I (G2P2-I1),Social and Cultural History of AP – Ancient period,Satavahana contributions to AP culture,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I1-002,AP History & Culture,G2 Paper-II Sec-I (G2P2-I1),Social and Cultural History of AP – Ancient period,Ikshvaku dynasty – Buddhist influence,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I1-003,AP History & Culture,G2 Paper-II Sec-I (G2P2-I1),Social and Cultural History of AP – Ancient period,Eastern Chalukya – Art and architecture,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I1-004,AP History & Culture,G2 Paper-II Sec-I (G2P2-I1),Social and Cultural History of AP – Ancient period,Kakatiya dynasty – Administration and culture,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I1-005,AP History & Culture,G2 Paper-II Sec-I (G2P2-I1),Social and Cultural History of AP – Ancient period,Language and literary developments in ancient AP,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I2-001,AP History & Culture,G2 Paper-II Sec-I (G2P2-I2),Social and Cultural History of AP – Medieval period,Vijayanagar influence on AP culture,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I2-002,AP History & Culture,G2 Paper-II Sec-I (G2P2-I2),Social and Cultural History of AP – Medieval period,Qutb Shahi and Nizam contributions,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I2-003,AP History & Culture,G2 Paper-II Sec-I (G2P2-I2),Social and Cultural History of AP – Medieval period,Social conditions under medieval rulers,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I2-004,AP History & Culture,G2 Paper-II Sec-I (G2P2-I2),Social and Cultural History of AP – Medieval period,Religious movements and cultural synthesis,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I2-005,AP History & Culture,G2 Paper-II Sec-I (G2P2-I2),Social and Cultural History of AP – Medieval period,Architecture and art of medieval AP,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I3-001,AP History & Culture,G2 Paper-II Sec-I (G2P2-I3),Social reform movements in AP,Veeresalingam and social reform,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I3-002,AP History & Culture,G2 Paper-II Sec-I (G2P2-I3),Social reform movements in AP,Anti-caste movements in AP,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I3-003,AP History & Culture,G2 Paper-II Sec-I (G2P2-I3),Social reform movements in AP,Women's reform movements,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I3-004,AP History & Culture,G2 Paper-II Sec-I (G2P2-I3),Social reform movements in AP,Education reform and modern thought,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I3-005,AP History & Culture,G2 Paper-II Sec-I (G2P2-I3),Social reform movements in AP,Impact of British social legislation,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I4-001,AP History & Culture,G2 Paper-II Sec-I (G2P2-I4),Nationalist movement in AP,Early political consciousness in AP,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I4-002,AP History & Culture,G2 Paper-II Sec-I (G2P2-I4),Nationalist movement in AP,Role of AP in freedom struggle,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I4-003,AP History & Culture,G2 Paper-II Sec-I (G2P2-I4),Nationalist movement in AP,"Important leaders of AP – Tanguturi Prakasam, Alluri Sitarama Raju",Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I4-004,AP History & Culture,G2 Paper-II Sec-I (G2P2-I4),Nationalist movement in AP,Quit India Movement in AP,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I4-005,AP History & Culture,G2 Paper-II Sec-I (G2P2-I4),Nationalist movement in AP,Formation of linguistic Andhra Pradesh,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I5-001,AP History & Culture,G2 Paper-II Sec-I (G2P2-I5),AP State formation and reorganization,States Reorganization Act 1956,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I5-002,AP History & Culture,G2 Paper-II Sec-I (G2P2-I5),AP State formation and reorganization,Formation of Andhra Pradesh – Merger with Hyderabad,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I5-003,AP History & Culture,G2 Paper-II Sec-I (G2P2-I5),AP State formation and reorganization,Telangana movement and bifurcation 2014,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I5-004,AP History & Culture,G2 Paper-II Sec-I (G2P2-I5),AP State formation and reorganization,Post-bifurcation challenges and development,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-AP_HIST-G2P2-I5-005,AP History & Culture,G2 Paper-II Sec-I (G2P2-I5),AP State formation and reorganization,AP cultural identity and heritage preservation,Social & Cultural History of AP,G2_PLUS,understanding,static,ap_specific,,,,,mains,paper2
MT-POLT-G2P2-II1-001,Polity,G2 Paper-II Sec-II (G2P2-II1),"Indian Constitution – Making, sources, features",Constituent Assembly – Composition and process,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II1-002,Polity,G2 Paper-II Sec-II (G2P2-II1),"Indian Constitution – Making, sources, features","Sources of the Constitution – British, US, Irish, French",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II1-003,Polity,G2 Paper-II Sec-II (G2P2-II1),"Indian Constitution – Making, sources, features","Salient features – Written, federal, secular, sovereign",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II1-004,Polity,G2 Paper-II Sec-II (G2P2-II1),"Indian Constitution – Making, sources, features",Preamble – Significance and amendments,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II1-005,Polity,G2 Paper-II Sec-II (G2P2-II1),"Indian Constitution – Making, sources, features",Schedules and their importance,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-001,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Right to Equality – Articles 14-18,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-002,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Right to Freedom – Articles 19-22,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-003,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Right against Exploitation – Articles 23-24,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-004,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Right to Freedom of Religion – Articles 25-28,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-005,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Cultural and Educational Rights – Articles 29-30,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-006,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Right to Constitutional Remedies – Article 32,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II2-007,Polity,G2 Paper-II Sec-II (G2P2-II2),Fundamental Rights and Duties,Fundamental Duties – Article 51A,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II3-001,Polity,G2 Paper-II Sec-II (G2P2-II3),Directive Principles of State Policy,Nature and significance of DPSPs,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II3-002,Polity,G2 Paper-II Sec-II (G2P2-II3),Directive Principles of State Policy,"Classification – Socialist, Gandhian, Liberal-intellectual",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II3-003,Polity,G2 Paper-II Sec-II (G2P2-II3),Directive Principles of State Policy,Conflict between FR and DPSP,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II3-004,Polity,G2 Paper-II Sec-II (G2P2-II3),Directive Principles of State Policy,Important judicial decisions,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II3-005,Polity,G2 Paper-II Sec-II (G2P2-II3),Directive Principles of State Policy,Implementation status of DPSPs,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II4-001,Polity,G2 Paper-II Sec-II (G2P2-II4),"Union Government – Executive, Legislature, Judiciary","President – Election, powers, emergency powers",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II4-002,Polity,G2 Paper-II Sec-II (G2P2-II4),"Union Government – Executive, Legislature, Judiciary",Prime Minister and Council of Ministers,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II4-003,Polity,G2 Paper-II Sec-II (G2P2-II4),"Union Government – Executive, Legislature, Judiciary","Parliament – Lok Sabha, Rajya Sabha, procedures",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II4-004,Polity,G2 Paper-II Sec-II (G2P2-II4),"Union Government – Executive, Legislature, Judiciary","Supreme Court – Composition, jurisdiction, judicial review",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II4-005,Polity,G2 Paper-II Sec-II (G2P2-II4),"Union Government – Executive, Legislature, Judiciary","Attorney General, Comptroller and Auditor General",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II5-001,Polity,G2 Paper-II Sec-II (G2P2-II5),"State Government – Executive, Legislature, Judiciary","Governor – Appointment, powers, discretion",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II5-002,Polity,G2 Paper-II Sec-II (G2P2-II5),"State Government – Executive, Legislature, Judiciary",Chief Minister and Council of Ministers,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II5-003,Polity,G2 Paper-II Sec-II (G2P2-II5),"State Government – Executive, Legislature, Judiciary","State Legislature – Structure, procedures",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II5-004,Polity,G2 Paper-II Sec-II (G2P2-II5),"State Government – Executive, Legislature, Judiciary",High Court – Jurisdiction and powers,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II5-005,Polity,G2 Paper-II Sec-II (G2P2-II5),"State Government – Executive, Legislature, Judiciary","Advocate General, State Election Commission",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II6-001,Polity,G2 Paper-II Sec-II (G2P2-II6),Centre-State Relations and Local Government,"Legislative, Administrative, Financial relations",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II6-002,Polity,G2 Paper-II Sec-II (G2P2-II6),Centre-State Relations and Local Government,Inter-State Council and Zonal Councils,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II6-003,Polity,G2 Paper-II Sec-II (G2P2-II6),Centre-State Relations and Local Government,73rd Amendment – Panchayati Raj system,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II6-004,Polity,G2 Paper-II Sec-II (G2P2-II6),Centre-State Relations and Local Government,74th Amendment – Municipalities,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II6-005,Polity,G2 Paper-II Sec-II (G2P2-II6),Centre-State Relations and Local Government,Finance Commission and fiscal federalism,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II7-001,Polity,G2 Paper-II Sec-II (G2P2-II7),Constitutional Amendments and Bodies,Important Constitutional Amendments,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II7-002,Polity,G2 Paper-II Sec-II (G2P2-II7),Constitutional Amendments and Bodies,Election Commission of India,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II7-003,Polity,G2 Paper-II Sec-II (G2P2-II7),Constitutional Amendments and Bodies,UPSC and State PSCs,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II7-004,Polity,G2 Paper-II Sec-II (G2P2-II7),Constitutional Amendments and Bodies,"National Commissions – SC, ST, Women, Minorities",Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
MT-POLT-G2P2-II7-005,Polity,G2 Paper-II Sec-II (G2P2-II7),Constitutional Amendments and Bodies,Statutory and quasi-judicial bodies,Indian Constitution,G2_PLUS,understanding,static,shared_gs,,,,,mains,paper2
