micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-SCI-M5-1-001,Science & Technology,Mains Paper-V (M5-1),SCIENCE & TECHNOLOGY — POLICY & INSTITUTIONS,"Nature & Scope of S&T — Role in nation building, everyday life applications; Scientific temper — Constitutional duty (Art 51A); India's contribution — Ancient (Aryabhata, Sushruta) to Modern (ISRO, DRDO)","Science and Technology – Role in development, S&T Policy, institutions",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-1-002,Science & Technology,Mains Paper-V (M5-1),SCIENCE & TECHNOLOGY — POLICY & INSTITUTIONS,"National S&T Policy — Science, Technology and Innovation Policy 2013 → STI Policy 2020; National missions — Atal Innovation Mission, INSPIRE, MANAK; India's R&D expenditure — % of GDP, comparison with global","Science and Technology – Role in development, S&T Policy, institutions",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-1-003,Science & Technology,Mains Paper-V (M5-1),SCIENCE & TECHNOLOGY — POLICY & INSTITUTIONS,Key Institutions — CSIR (Council of Scientific & Industrial Research) — 38 labs; DRDO — Defence research; ISRO — Space programme (+6 more),"Science and Technology – Role in development, S&T Policy, institutions",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-1-004,Science & Technology,Mains Paper-V (M5-1),SCIENCE & TECHNOLOGY — POLICY & INSTITUTIONS,Prominent Indian Scientists — C.V. Raman — Raman Effect (Nobel 1930); S. Ramanujan — Mathematics; Homi Bhabha — Father of Indian nuclear programme (+6 more),"Science and Technology – Role in development, S&T Policy, institutions",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-1-005,Science & Technology,Mains Paper-V (M5-1),SCIENCE & TECHNOLOGY — POLICY & INSTITUTIONS,"Indigenous Technologies — Tejas (LCA), Arjun Tank, INS Vikrant (aircraft carrier); Covaxin, CoWIN — COVID-19 response; UPI — Digital payment innovation (+2 more)","Science and Technology – Role in development, S&T Policy, institutions",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-2-001,Science & Technology,Mains Paper-V (M5-2),"ICT, E-GOVERNANCE & CYBER SECURITY","ICT Overview — Nature, scope, importance of ICT; ICT in daily life — Internet, mobile, social media; ICT in industry — Automation, IoT, AI, Machine learning (+1 more)","Information and Communication Technology – IT policy, e-Governance, Cyber security",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-2-002,Science & Technology,Mains Paper-V (M5-2),"ICT, E-GOVERNANCE & CYBER SECURITY","E-Governance — Digital India Mission — 9 pillars; Broadband highways, Universal mobile access, Public internet; e-Governance, e-Kranti, Information for all (+4 more)","Information and Communication Technology – IT policy, e-Governance, Cyber security",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-2-003,Science & Technology,Mains Paper-V (M5-2),"ICT, E-GOVERNANCE & CYBER SECURITY","Cyber Security — Cyber crimes — Phishing, Ransomware, Identity theft, Data breaches; IT Act 2000 (amended 2008) — Sections 66, 67, 69; National Cyber Security Policy 2013 (+3 more)","Information and Communication Technology – IT policy, e-Governance, Cyber security",G2_PLUS,analytical,dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-3-001,Science & Technology,Mains Paper-V (M5-3),SPACE & DEFENCE TECHNOLOGY,Indian Space Programme (ISRO) — Evolution — Vikram Sarabhai → INCOSPAR → ISRO (1969); Headquarters — Bengaluru; Launch vehicles: (+20 more),"Space Technology, Defence Technology – ISRO, DRDO programmes",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper5
MT-SCI-M5-3-002,Science & Technology,Mains Paper-V (M5-3),SPACE & DEFENCE TECHNOLOGY,Defence Technology (DRDO) — Established 1958 — Vision: Self-reliance in defence; Headquarters — New Delhi; Key programmes: (+9 more),"Space Technology, Defence Technology – ISRO, DRDO programmes",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper5
